,Cluster_1,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_2,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_0.0,Cluster_0.1,Cluster_0.10,Cluster_0.2,Cluster_0.3,Cluster_0.4,Cluster_0.5,Cluster_0.6,Cluster_0.7,Cluster_0.8,Cluster_0.9
Cluster_2,0.2654561797999332,0.2561584918483979,0.22269998634195223,0.12938731596374317,0.6300238941837811,0.15516321669443925,0.044784581913569856,0.45668515416616207,0.0646622513822475,0.39347191055903574,1.0,0.06525206996654323,0.19613184379344195,0.28549378441469286,0.18135799047182133,0.13653311542670765,0.18319152963190163,0.5814242840824984,0.24812021382062255,0.6499388181122444,0.5684448246815608,0.45714765049486317,0.6059437596530547,0.7149062892221606,0.2272307000440221,0.5254504442822838,0.4611394645243469,0.7551532197837175,0.7788359549887793,0.39772988486876326,0.6113170940221897,0.40156578367956586,0.2184290722359409
Cluster_20,0.29109668698814234,0.13414586387825703,0.2071891588586337,0.07675742154422745,0.07420209369950566,0.03893683569180993,0.0656295383234526,0.12926344218478072,0.046439436180157175,0.17337492380167616,0.06525206996654323,0.9999999999999998,0.12079480022197539,0.14642683659089664,0.15119918801211935,0.19947783537955815,0.08687573787381832,0.10453016404107499,0.25062729173644294,0.09010512996113092,0.062499926828014585,0.12728467550220351,0.11953697132545882,0.0670627484094441,0.03882257887230123,0.12244424732244358,0.17304430150921038,0.08675493451640455,0.04956609670349818,0.17737770260283078,0.06281360866244841,0.11639552720274901,0.07285126020631655
Cluster_21,0.32796181017823167,0.2058611859143579,0.21609211412454954,0.14010962285156367,0.1354622934362355,0.04271289613240592,0.08186731914276038,0.22322003679069155,0.05987428284982509,0.23089911024911605,0.19613184379344192,0.12079480022197538,1.0,0.2260621265067623,0.12809025883863986,0.19302693173744323,0.2740644555346329,0.28820563260454385,0.27639353503171354,0.22632978851387342,0.17911736368832765,0.24661776914470782,0.2684309457274048,0.20845834422011153,0.09792697609977791,0.2295477503426692,0.2593347912863927,0.22046308166591067,0.19859184826354484,0.2674782007974055,0.15143718598575365,0.2083231034834974,0.09845681124505617
Cluster_22,0.417792707207451,0.283536058644957,0.38457988030749723,0.13971484798092262,0.2022161554562313,0.060792140991102396,0.08439978116743892,0.366859980540674,0.08289184030181758,0.3792044610979758,0.2854937844146928,0.14642683659089664,0.22606212650676233,1.0,0.20958169400839874,0.20991602349298707,0.3966754783678968,0.2777314650285957,0.3789770054619412,0.3052380207371875,0.2933103946457593,0.46983960021572413,0.3023242222240215,0.2662404623355463,0.13437159091486875,0.3354961731920059,0.373581280253473,0.32873711972469244,0.25873089782789654,0.41751028803500784,0.21482663339799943,0.3949859442056586,0.18829497875975965
Cluster_23,0.336128767974579,0.20391809009402598,0.2708250488152538,0.11493723358087919,0.15582254781275068,0.04958503255900654,0.08506846073282551,0.24132106985801685,0.07518254911378489,0.2570783539222306,0.18135799047182133,0.15119918801211935,0.1280902588386399,0.20958169400839874,1.0,0.15260127525781492,0.20269390544846655,0.18756391082212512,0.2790691826982757,0.19049455545006724,0.1612993605621968,0.27025120454784984,0.21048450988384482,0.1710023173699915,0.0960374568095426,0.2057300057999345,0.2635541937407353,0.19581202756320706,0.16567417890673716,0.2820897593189723,0.1629433800473914,0.24522654063978827,0.10636692070537748
Cluster_3,0.41223671364603,0.2596270230662621,0.2550622393988945,0.22220541896790727,0.09075175222590784,0.1527089466553084,0.1792538897590963,0.19556127699843812,0.12697898455460888,0.19963351847122146,0.13653311542670765,0.19947783537955813,0.1930269317374432,0.20991602349298707,0.15260127525781492,1.0,0.09622281683794374,0.19993764709507666,0.32755048202093445,0.18010976799439138,0.1171429895261815,0.18561247030045241,0.30169235971766417,0.17946922039367938,0.14601428475631387,0.20846634897013164,0.3002604008742217,0.18035203104867734,0.14304590277658585,0.27328432379678624,0.12076905818668235,0.16386469667896575,0.14430245584984722
Cluster_4,0.24175484057141142,0.1732424531412897,0.3808663993872045,0.05362168566787162,0.12556120132072285,0.03120654840069215,0.028894122081519102,0.38755081891242554,0.0413010528010042,0.3380940356435889,0.18319152963190163,0.08687573787381832,0.2740644555346329,0.39667547836789674,0.20269390544846655,0.09622281683794376,1.0,0.1354630264140537,0.21860097342741872,0.2111215306193419,0.179199941780352,0.5967962858231209,0.14213746232097826,0.13734087452456425,0.19956260280731528,0.27975117656389326,0.31304219621456175,0.2316558011267832,0.12746067449001508,0.5148993033212643,0.12994116722856477,0.33673759126476177,0.14440180499766603
Cluster_5,0.401991360320294,0.38068652433918027,0.30411684252721516,0.21713136655544038,0.4270576783036387,0.15331305496527964,0.08521773255591661,0.4092231904421884,0.09390888652883979,0.33884221348789834,0.5814242840824982,0.10453016404107499,0.2882056326045438,0.27773146502859575,0.18756391082212512,0.1999376470950767,0.1354630264140537,0.9999999999999999,0.32752101799142186,0.5497572971720331,0.4372911667937738,0.35765521655233456,0.7082515094822894,0.6120084533114417,0.21799974262591443,0.44307669115622816,0.4703380376679583,0.5722044774545977,0.6390242928880889,0.3719653839832355,0.4372799364135673,0.3506491325732587,0.2057365197984914
Cluster_6,0.7288749495501624,0.4261720452298892,0.44093989561738756,0.2534106892042934,0.179127891803495,0.09097447954612682,0.16250106037668535,0.34433848538386924,0.11513273957988626,0.39891109095561644,0.24812021382062252,0.25062729173644294,0.2763935350317135,0.3789770054619412,0.2790691826982757,0.32755048202093445,0.21860097342741872,0.32752101799142186,0.9999999999999998,0.30559613933647967,0.23274480220328417,0.3499412338867177,0.39150504415593157,0.27528340179775135,0.1291674101734903,0.31588230499125597,0.4330576953344959,0.29337650084959405,0.25135456670799566,0.42385871625769306,0.22016414841103363,0.3113520698732189,0.18089257717879223
Cluster_7,0.35177894508986557,0.2875778750535417,0.2870704498301559,0.15672280181751055,0.4402264353258275,0.13197809416385797,0.0882048247670441,0.41649757236739704,0.06663758486999516,0.3995158572709695,0.6499388181122444,0.09010512996113092,0.22632978851387342,0.3052380207371875,0.19049455545006727,0.18010976799439138,0.21112153061934186,0.549757297172033,0.30559613933647967,1.0,0.47077214155271657,0.489161382531373,0.6095563138052197,0.6230548823560168,0.23212501034089109,0.49961808291759235,0.47415723089765033,0.6344806595599959,0.6498345420810483,0.4231298637524277,0.4816058332629453,0.40638171433996984,0.23862821073803375
Cluster_8,0.23784205773325554,0.22970723643943358,0.20578358262423704,0.12790044301454237,0.3960744127906726,0.08896877262844086,0.03490038971538056,0.3915103312404673,0.31219095606746994,0.392995462220604,0.5684448246815609,0.06249992682801459,0.17911736368832767,0.29331039464575925,0.1612993605621968,0.1171429895261815,0.17919994178035198,0.4372911667937737,0.23274480220328417,0.4707721415527166,1.0,0.5410421702314792,0.46248867362533397,0.5077828166934346,0.15940967855479488,0.4022477595492745,0.4109778406152797,0.5697700587676646,0.5104184715545017,0.36924257818228057,0.3774130762509191,0.5484836202203696,0.1709276644394856
Cluster_9,0.34466744310261954,0.277502789784736,0.4631538616386074,0.11425337345601402,0.31522586589935125,0.06807679702914496,0.05958343355169634,0.5070282478094826,0.08233279226485496,0.5669000470371951,0.45714765049486317,0.12728467550220351,0.24661776914470782,0.46983960021572413,0.27025120454784984,0.18561247030045244,0.5967962858231209,0.35765521655233456,0.3499412338867177,0.48916138253137303,0.541042170231479,1.0,0.36301787583272405,0.36652180307391663,0.1842393129469345,0.5044804543525323,0.5011520536429269,0.5137952558195192,0.3836851805587705,0.6180105760081319,0.3080294565403788,0.6815906034209456,0.2560832654594224
Cluster_0.0,0.4946533030348373,0.37796798830494827,0.28530835760684414,0.29108946001141517,0.43545359917949505,0.18242300089617053,0.1707764529536201,0.40198935168938127,0.09735451845943302,0.3493294107908075,0.6059437596530547,0.11953697132545882,0.2684309457274048,0.3023242222240215,0.2104845098838448,0.30169235971766417,0.14213746232097826,0.7082515094822893,0.39150504415593157,0.6095563138052197,0.462488673625334,0.36301787583272405,0.9999999999999999,0.767394915651149,0.28488129171007043,0.4640569114061344,0.5456934770888802,0.6247581704971741,0.6765860737490125,0.3945192801788347,0.481263270930877,0.32489096097520415,0.20945802487502138
Cluster_0.1,0.3228184055711785,0.27165254006627576,0.19750493613971465,0.17788526745243535,0.5244113130041252,0.15130511181788062,0.09316574958083768,0.394529598140071,0.06881851636456122,0.32700068832809615,0.7149062892221606,0.06706274840944408,0.20845834422011153,0.2662404623355463,0.1710023173699915,0.17946922039367935,0.13734087452456425,0.6120084533114417,0.27528340179775135,0.6230548823560168,0.5077828166934346,0.3665218030739166,0.767394915651149,1.0,0.2505790495962384,0.48902554230190576,0.4712752779224889,0.747406427673035,0.7167980365486931,0.348095978410302,0.49141848737638305,0.34268816962823917,0.203735959067755
Cluster_0.10,0.15892535858554335,0.13560424844325622,0.13281073437942775,0.06553237860771725,0.15440653514602498,0.08155912450210867,0.03160712716800933,0.16782736585403443,0.058960602416189355,0.1606291359563085,0.2272307000440221,0.03882257887230123,0.0979269760997779,0.13437159091486875,0.0960374568095426,0.14601428475631387,0.1995626028073153,0.21799974262591443,0.1291674101734903,0.2321250103408911,0.1594096785547949,0.18423931294693446,0.28488129171007043,0.25057904959623845,1.0,0.2411221888983505,0.23516188842682187,0.27080833800728876,0.205398394097959,0.19212055825470312,0.1837410835291486,0.1857694444052316,0.054984547311825054
Cluster_0.2,0.35131443034521204,0.2991024746199304,0.36420433468446733,0.15538430188941663,0.365181280008758,0.11939261288914083,0.08462745452644921,0.41787020480890724,0.06583312980223793,0.41109029624910776,0.5254504442822838,0.12244424732244358,0.2295477503426692,0.3354961731920059,0.2057300057999345,0.20846634897013167,0.27975117656389326,0.44307669115622816,0.31588230499125597,0.4996180829175924,0.40224775954927444,0.5044804543525323,0.46405691140613436,0.4890255423019058,0.2411221888983505,1.0,0.5480431778517595,0.6177998758074777,0.5285946020433003,0.5366266357940341,0.39172851605228937,0.5135054926903081,0.24157302777375422
Cluster_0.3,0.5130714935862929,0.41591205285049565,0.5351076283917833,0.20989112181588065,0.32371992724364873,0.1054301672401994,0.141874070112618,0.43781572565952875,0.1161327945559444,0.4360974445159653,0.4611394645243469,0.1730443015092104,0.25933479128639275,0.373581280253473,0.2635541937407353,0.3002604008742217,0.31304219621456175,0.47033803766795834,0.4330576953344959,0.4741572308976504,0.4109778406152797,0.5011520536429269,0.5456934770888802,0.47127527792248897,0.23516188842682184,0.5480431778517594,0.9999999999999999,0.547361962501567,0.4669918690661482,0.6038368226242298,0.3548946498246066,0.5076323726614288,0.26615107880199934
Cluster_0.4,0.3225694036553716,0.28327401700240346,0.28409279281115857,0.15795913986895077,0.5221335722895318,0.18584022386371987,0.07560663054069337,0.4650108793239028,0.08892464032914488,0.43372110364853333,0.7551532197837175,0.08675493451640456,0.2204630816659107,0.32873711972469244,0.19581202756320706,0.18035203104867734,0.23165580112678322,0.5722044774545977,0.29337650084959405,0.6344806595599958,0.5697700587676646,0.5137952558195192,0.6247581704971741,0.747406427673035,0.2708083380072888,0.6177998758074777,0.547361962501567,1.0,0.718929480064502,0.5047629242142889,0.517026469098622,0.5189695822004907,0.2366342357606088
Cluster_0.5,0.2790739783750186,0.27587441271622165,0.2068752344513366,0.1480893262904383,0.5284691218428568,0.1876996132726089,0.034858302281668294,0.4129173945861015,0.05614954646187281,0.347278083065076,0.7788359549887792,0.04956609670349818,0.19859184826354484,0.25873089782789654,0.16567417890673716,0.14304590277658585,0.12746067449001508,0.6390242928880889,0.2513545667079957,0.6498345420810484,0.5104184715545017,0.38368518055877054,0.6765860737490124,0.7167980365486931,0.205398394097959,0.5285946020433003,0.46699186906614826,0.718929480064502,1.0,0.38025455896422844,0.6149901419240215,0.37088849788498274,0.2129461871854861
Cluster_0.6,0.4805453783669319,0.37558118288287556,0.6546763607995599,0.13924533915199686,0.2740586469512009,0.10048847173446392,0.14258824174639298,0.4857121126201724,0.06457383494838918,0.48654277536901863,0.3977298848687633,0.17737770260283076,0.2674782007974055,0.41751028803500784,0.28208975931897223,0.2732843237967862,0.5148993033212643,0.3719653839832355,0.423858716257693,0.42312986375242767,0.36924257818228057,0.6180105760081319,0.3945192801788347,0.348095978410302,0.19212055825470312,0.5366266357940341,0.6038368226242298,0.5047629242142889,0.3802545589642284,1.0,0.3093009021958105,0.6033319320552196,0.279996707923754
Cluster_0.7,0.25657263819983755,0.23383277111565084,0.19187775990375577,0.11856487550611668,0.4012191055145282,0.15942791459932798,0.038478139721815866,0.32883021646202926,0.04012012112015258,0.2824438393338862,0.6113170940221897,0.06281360866244841,0.15143718598575362,0.21482663339799943,0.16294338004739142,0.12076905818668236,0.12994116722856477,0.4372799364135674,0.22016414841103366,0.4816058332629453,0.3774130762509191,0.3080294565403788,0.481263270930877,0.49141848737638305,0.18374108352914864,0.39172851605228937,0.35489464982460656,0.517026469098622,0.6149901419240215,0.30930090219581047,1.0,0.303729208234004,0.15826089538443233
Cluster_0.8,0.31413014962587793,0.2609640599940552,0.42331510015454776,0.11003918466705018,0.28452926481361523,0.05545545610271736,0.061498826999601096,0.44885611351807897,0.060987917087221455,0.4877954747197911,0.4015657836795659,0.11639552720274901,0.2083231034834974,0.39498594420565863,0.2452265406397883,0.16386469667896572,0.3367375912647618,0.35064913257325875,0.3113520698732189,0.40638171433996984,0.5484836202203696,0.6815906034209456,0.3248909609752041,0.34268816962823917,0.18576944440523158,0.5135054926903081,0.5076323726614288,0.5189695822004908,0.37088849788498274,0.6033319320552196,0.303729208234004,1.0,0.21776535241768954
Cluster_0.9,0.19745275986635774,0.17530357433936058,0.351711756097269,0.0620983403388267,0.14018400939150796,0.05600903371406785,0.09555664569914747,0.22057459736880658,0.03008226450821352,0.18955034660787282,0.2184290722359409,0.07285126020631653,0.09845681124505617,0.18829497875975965,0.10636692070537748,0.14430245584984724,0.144401804997666,0.20573651979849142,0.18089257717879223,0.23862821073803372,0.1709276644394856,0.2560832654594224,0.20945802487502135,0.203735959067755,0.05498454731182506,0.2415730277737542,0.26615107880199934,0.23663423576060882,0.2129461871854861,0.279996707923754,0.15826089538443233,0.21776535241768957,1.0
